 Average                 ," NO_
AJMER "," NO2_
AJMER "," NOX_
AJMER "," NH3_
AJMER "," SO2_
AJMER "," CO_
AJMER "," O3_
AJMER "," PM10_
AJMER "," PM2.5_
AJMER "," BENZ_
AJMER "," TOLUENE_
AJMER "," ETHYBEZ_
AJMER ", MP_XYLENE_AJMER ,"OXYLENE_
AJMER "," TEMP_
AJMER "," RH_
AJMER "," WS_
AJMER "," WD_
AJMER "," BP_
AJMER "," SR_
AJMER "," RG_
AJMER "
                  , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , mg/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , ug/m3 , degreC , % , m/s , degre----- , mmHg , W/m2 , m m 
43466.666666666664,2.66,36.99,39.64,21.95,15.68,2.15,79.599999999999994,60.56,16.98,0.96,2.09,0.02,0.02,0,24.96,13.1,1.59,270.58,762.53,264.89,0
43466.708333333336,3.82,47.1,50.92,22.3,17.059999999999999,2.12,61.86,63.26,25.05,1.1100000000000001,3.31,0.03,0.05,0.01,24.25,11.4,1.64,262.02,762.4,159.94,0
43466.75,58.22,100.59,158.81,33.53,12.9,2.46,8.7100000000000009,54.39,17.78,4.74,14.59,0.33,0.56000000000000005,0.28000000000000003,21.7,17.3,0.73,277.49,762.75,41,0
43466.791666666664,85.31,99.62,184.93,39.64,12.5,1.84,9.66,86.44,37.92,1.46,5.55,0.16,0.36,0.16,16.27,34.299999999999997,1.1200000000000001,14.53,763.42,22.76,0
43466.833333333336,165.24,93.35,258.58999999999997,53.56,13.55,3.24,22.13,177.15,61.79,14.51,40.24,2.12,4.97,1.47,15.01,35.200000000000003,1.05,9.8699999999999992,763.88,24.59,0
43466.875,147.59,88.61,236.2,53.49,12.44,4.74,17.75,253.12,79.290000000000006,21.16,57.09,4.18,9.74,3.22,14.12,38.200000000000003,0.62,330.89,764.02,24.96,0
43466.916666666664,117.68,83.58,201.26,45.75,10.08,0.63,13.96,234.62,68.64,15.4,43.89,2.63,6.81,2.04,13.3,44.5,0.94,359.18,764.13,24.9,0
43466.958333333336,63.76,81.28,145.04,40.04,9.7100000000000009,0.56999999999999995,9.2899999999999991,217.73,77.47,11.31,32.25,1.52,3.89,1,12.37,52.8,0.82,344.26,764.04,24.96,0
43467,33.67,77.849999999999994,111.53,37.44,9.17,0.5,6.61,192.49,57.47,8.51,23.02,0.96,2.06,0.54,12.36,55.2,0.98,349.75,764.07,25.27,0
43467.041666666664,32.450000000000003,60.57,93.03,41.63,8.39,0.7,8.6999999999999993,156.13999999999999,59.34,6.02,15.54,0.66,0.96,0.27,10.96,61.8,0.99,11.27,763.93,24.64,0
43467.083333333336,27.76,50.09,77.84,39.82,7.18,0.94,8.39,121.15,51.69,5.03,13.71,0.47,0.73,0.23,10.06,65.8,0.81,12.89,763.89,24.78,0
43467.125,14.12,44.66,58.78,31.66,3.8,0.86,11.01,107.13,48.35,3.66,9.08,0.24,0.32,0.1,9.59,68.5,0.56999999999999995,357,763.82,25.11,0
43467.166666666664,9.69,39.36,49.05,33.36,2.87,0.77,9.36,109.61,42.81,2.82,6.38,0.15,0.16,0.04,9.14,72,1.29,6.14,763.57,25.25,0
43467.208333333336,7.76,33.880000000000003,41.64,34.369999999999997,3.9,0.66,9.3000000000000007,94.4,40.03,2.56,6.44,0.15,0.18,0.04,8.92,73.400000000000006,1.1599999999999999,8.89,763.44,25.31,0
43467.25,8.91,34.29,43.21,30.25,4.97,0.95,8.4700000000000006,75.7,43.03,2.13,5.01,0.1,0.11,0.03,8.67,74.7,1.25,8.5299999999999994,763.62,25.41,0
43467.291666666664,24.07,40.04,64.11,32.36,5.0999999999999996,0.91,9.48,83.13,39.96,2.31,4.57,0.08,0.09,0.02,8.14,74.900000000000006,0.68,22.91,763.84,25.21,0
43467.333333333336,48.27,47.79,96.04,37.83,5.28,0.68,12.2,85.5,29.74,4.3,5.4,7.0000000000000007E-2,0.11,0.02,7.96,75.8,1.05,9.52,764.36,32.369999999999997,0
43467.375,66.069999999999993,71.08,137.15,45.54,5.82,0.64,11.47,242.39,56.69,7.53,8.44,0.16,0.21,7.0000000000000007E-2,12.09,57.8,0.99,96.53,765.04,106.1,0
43467.416666666664,26.54,92.94,119.48,47.13,10.55,0.89,17.57,274.51,79.290000000000006,8.4499999999999993,11.15,0.25,0.35,0.11,17.57,40,1.61,177.8,765.51,227.29,0
43467.458333333336,6.66,76.31,82.97,38.659999999999997,20.78,0.62,58.65,251.1,71.12,6.51,8.09,0.19,0.23,0.04,20.68,29.1,1.74,186.73,765.65,284.45999999999998,0
43467.5,3.05,36.520000000000003,39.57,32.82,17.3,0.33,87.8,231.94,77.78,4.71,6.12,0.22,0.16,0.02,22.39,18.399999999999999,1.44,235.67,765.28,262.58999999999997,0
